Date of rally,city,state_id,Venue,Other speakers,
"February 18, 2017",Melbourne,FL,Orlando Melbourne International Airport,Melania Trump,
"March 15, 2017",Nashville,TN,Nashville Municipal Auditorium,,
"March 20, 2017",Louisville,KY,Kentucky Exposition Center,,
"April 29, 2017",Harrisburg,PA,Pennsylvania Farm Show Complex & Expo Center,,
"June 21, 2017",Cedar Rapids,IA,U.S. Cellular Center,,
"July 25, 2017",Youngstown,OH,Covelli Centre,"Melania Trump, Eric Trump, Lara Trump",
"August 3, 2017",Huntington,WV,Big Sandy Superstore Arena,"Jim Justice, Hershel W. Williams",
"August 22, 2017",Phoenix,AZ,Phoenix Convention Center,"Ben Carson, Alveda King, Franklin Graham, Mike Pence",
"September 22, 2017",Huntsville,AL,Von Braun Center,Luther Strange,
"December 8, 2017",Pensacola,FL,Pensacola Bay Center,,
"March 10, 2018",Moon Township,PA,Pittsburgh International Airport,Rick Saccone,
"April 28, 2018",Washington Township,MI,Total Sports Park,Bill Schuette,
"May 10, 2018",Elkhart,IN,North Side Middle School,"Mike Pence, Mike Braun",
"May 29, 2018",Nashville,TN,Nashville Municipal Auditorium,Marsha Blackburn,
"June 20, 2018",Duluth,MN,AMSOIL Arena,Pete Stauber,
"June 23, 2018",Las Vegas,NV,Nevada Republican Convention,Dean Heller,
"June 25, 2018",West Columbia,SC,Airport High School,Henry McMaster,
"June 27, 2018",Fargo,ND,Scheels Arena,Kevin Cramer,
"July 5, 2018",Great Falls,MT,Four Seasons Arena,Matt Rosendale,
"July 31, 2018",Tampa,FL,Florida State Fairgrounds,Ron DeSantis,
"August 2, 2018",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,Lou Barletta,
"August 4, 2018",Lewis Center,OH,Olentangy Orange High School,"Troy Balderson, Jim Jordan",
"August 21, 2018",Charleston,WV,Charleston Civic Center,"Patrick Morrisey, Jim Justice",
"August 30, 2018",Evansville,IN,Ford Center,Mike Braun,
"September 6, 2018",Billings,MT,MetraPark Arena,Matt Rosendale,
"September 20, 2018",Las Vegas,NV,Las Vegas Convention Center,"Dean Heller, Adam Laxalt",
"September 21, 2018",Springfield,MO,JQH Arena,Josh Hawley,
"September 29, 2018",Wheeling,WV,WesBanco Arena,"Patrick Morrisey, Jim Justice",
"October 1, 2018",Johnson City,TN,Freedom Hall,"Marsha Blackburn, Bill Lee",
"October 2, 2018",Southaven,MS,Landers Center,"Cindy Hyde-Smith, Roger Wicker",
"October 4, 2018",Rochester,MN,Mayo Civic Center,"Jim Hagedorn, Jason Lewis, Karin Housley",
"October 6, 2018",Topeka,KS,Kansas Expocentre,"Kris Kobach, Steve Watkins",
"October 9, 2018",Council Bluffs,IA,Mid-America Center,"Kim Reynolds, David Young",
"October 10, 2018",Erie,PA,Erie Insurance Arena,"Lou Barletta, Mike Kelly",
"October 12, 2018",Lebanon,OH,Warren County Fairgrounds,"Jim Renacci, Steve Chabot",
"October 13, 2018",Richmond,KY,Alumni Coliseum,"Andy Barr, Mitch McConnell, Rand Paul",
"October 18, 2018",Missoula,MT,Minuteman Aviation,Matt Rosendale,
"October 19, 2018",Mesa,AZ,International Air Response,Martha McSally,
"October 20, 2018",Elko,NV,Mountain West Aviation,"Adam Laxalt, Dean Heller",
"October 22, 2018",Houston,TX,Toyota Center,"Ted Cruz, Greg Abbott, John Cornyn, Dan Patrick, Lara Trump, Eric Trump, Tilman Fertitta, George Springer, Cal McNair, John Culberson, Gabriel Brenner",
"October 24, 2018",Mosinee,WI,Central Wisconsin Airport,"Scott Walker, Leah Vukmir, Paul Ryan",
"October 26, 2018",Charlotte,NC,Bojangles' Coliseum,"Mark Harris, Ted Budd",
"October 27, 2018",Murphysboro,IL,Southern Illinois Airport,"Mike Bost, Rodney Davis, Randy Hultgren",
"October 31, 2018",Fort Myers,FL,Hertz Arena,"Ron DeSantis, Rick Scott",
"November 1, 2018",Columbia,MO,Columbia Regional Airport,Josh Hawley,
"November 2, 2018",Huntington,WV,Tri-State Airport,"Patrick Morrisey, Carol Miller",
"November 2, 2018",Indianapolis,IN,Southport High School,"Mike Pence, Mike Braun, Bobby Knight",
"November 3, 2018",Belgrade,MT,Bozeman Yellowstone International Airport,"Matt Rosendale, Greg Gianforte",
"November 3, 2018",Pensacola,FL,Pensacola International Airport,"Mike Pence, Ron DeSantis, Rick Scott",
"November 4, 2018",Macon,GA,Middle Georgia Regional Airport,"Brian Kemp, Nathan Deal, Geoff Duncan, Sonny Perdue",
"November 4, 2018",Chattanooga,TN,McKenzie Arena,"Mike Pence, Lee Greenwood, Marsha Blackburn",
"November 5, 2018",Cleveland,OH,I-X Center,"Jim Jordan, Ivanka Trump, Jim Renacci, Mike DeWine",
"November 5, 2018",Fort Wayne,IN,Allen County War Memorial Coliseum,"Ivanka Trump, Kellyanne Conway, Sarah Sanders, Mike Braun",
"November 5, 2018",Cape Girardeau,MO,Show Me Center,"Josh Hawley, Sean Hannity, Jeanine Pirro, Rush Limbaugh, Lee Greenwood, Ivanka Trump, Kellyanne Conway, Sarah Sanders",
"November 26, 2018",Tupelo,MS,Tupelo Regional Airport,Cindy Hyde-Smith,
"November 26, 2018",Biloxi,MS,Mississippi Coast Coliseum,"Mike Pence, Phil Bryant, Cindy Hyde-Smith",
"February 11, 2019",El Paso,TX,El Paso County Coliseum,"Brad Parscale, John Cornyn, Lance Berkman, Ted Cruz, Donald Trump Jr",
"March 28, 2019",Grand Rapids,MI,Van Andel Arena,"Donald Trump Jr., Brad Parscale",
"April 27, 2019",Green Bay,WI,Resch Center,"Mike Gallagher, Diamond and Silk, Sean Duffy, Donald Trump Jr, Sarah Sanders",
"May 8, 2019",Panama City Beach,FL,Aaron Bessant Park Amphitheater,"Ron DeSantis, Marco Rubio",
"May 20, 2019",Montoursville,PA,Williamsport Regional Airport,Fred Keller,
"June 18, 2019",Orlando,FL,Amway Center,"Donald Trump Jr., Mike Pence, Melania Trump, Karen Pence, Lara Trump, Sarah Sanders",
"July 17, 2019",Greenville,NC,Williams Arena,"Mike Pence, Greg Murphy, Dan Bishop",
"August 1, 2019",Cincinnati,OH,U.S. Bank Arena,"Mike Pence, Donald Trump Jr.",
"August 15, 2019",Manchester,NH,SNHU Arena,Brad Parscale,
"September 9, 2019",Fayetteville,NC,Crown Expo Center,"Dan Bishop, Greg Murphy",
"September 16, 2019",Rio Rancho,NM,Santa Ana Star Center,Brad Parscale,
"October 10, 2019",Minneapolis,MN,Target Center,"Mike Pence, Eric Trump",
"October 11, 2019",Lake Charles,LA,James E. Sudduth Coliseum,"Ralph Abraham, Eddie Rispone",
"October 17, 2019",Dallas,TX,American Airlines Center,,
"November 1, 2019",Tupelo,MS,BancorpSouth Arena,Tate Reeves,
"November 4, 2019",Lexington,KY,Rupp Arena,Matt Bevin,
"November 6, 2019",Monroe,LA,Monroe Civic Center,Eddie Rispone,
"November 14, 2019",Bossier City,LA,CenturyLink Center,Eddie Rispone,
